item_id,title,description,category
1000,item #1000,description of item 1000,7
1001,item #1001,description of item 1001,11
1002,item #1002,description of item 1002,4
1003,item #1003,description of item 1003,13
1004,item #1004,description of item 1004,3
1005,item #1005,description of item 1005,4
1006,item #1006,description of item 1006,6
1007,item #1007,description of item 1007,10
1008,item #1008,description of item 1008,11
1009,item #1009,description of item 1009,6
1010,item #1010,description of item 1010,4
1011,item #1011,description of item 1011,9
1012,item #1012,description of item 1012,1
1013,item #1013,description of item 1013,6
1014,item #1014,description of item 1014,1
1015,item #1015,description of item 1015,1
1016,item #1016,description of item 1016,8
1017,item #1017,description of item 1017,9
1018,item #1018,description of item 1018,3
1019,item #1019,description of item 1019,12
1020,item #1020,description of item 1020,11
1021,item #1021,description of item 1021,6
1022,item #1022,description of item 1022,5
1023,item #1023,description of item 1023,2
1024,item #1024,description of item 1024,8
1025,item #1025,description of item 1025,7
1026,item #1026,description of item 1026,9
1027,item #1027,description of item 1027,9
1028,item #1028,description of item 1028,8
1029,item #1029,description of item 1029,6
1030,item #1030,description of item 1030,11
1031,item #1031,description of item 1031,10
1032,item #1032,description of item 1032,9
1033,item #1033,description of item 1033,7
1034,item #1034,description of item 1034,6
1035,item #1035,description of item 1035,5
1036,item #1036,description of item 1036,13
1037,item #1037,description of item 1037,7
1038,item #1038,description of item 1038,1
1039,item #1039,description of item 1039,1
1040,item #1040,description of item 1040,2
1041,item #1041,description of item 1041,10
1042,item #1042,description of item 1042,6
1043,item #1043,description of item 1043,7
1044,item #1044,description of item 1044,2
1045,item #1045,description of item 1045,6
1046,item #1046,description of item 1046,6
1047,item #1047,description of item 1047,9
1048,item #1048,description of item 1048,13
1049,item #1049,description of item 1049,7
1050,item #1050,description of item 1050,1
1051,item #1051,description of item 1051,7
1052,item #1052,description of item 1052,9
1053,item #1053,description of item 1053,7
1054,item #1054,description of item 1054,13
1055,item #1055,description of item 1055,8
1056,item #1056,description of item 1056,8
1057,item #1057,description of item 1057,12
1058,item #1058,description of item 1058,3
1059,item #1059,description of item 1059,8
1060,item #1060,description of item 1060,11
1061,item #1061,description of item 1061,9
1062,item #1062,description of item 1062,10
1063,item #1063,description of item 1063,10
1064,item #1064,description of item 1064,11
1065,item #1065,description of item 1065,9
1066,item #1066,description of item 1066,11
1067,item #1067,description of item 1067,4
1068,item #1068,description of item 1068,4
1069,item #1069,description of item 1069,12
1070,item #1070,description of item 1070,8
1071,item #1071,description of item 1071,2
1072,item #1072,description of item 1072,2
1073,item #1073,description of item 1073,2
1074,item #1074,description of item 1074,4
1075,item #1075,description of item 1075,8
1076,item #1076,description of item 1076,10
1077,item #1077,description of item 1077,2
1078,item #1078,description of item 1078,2
1079,item #1079,description of item 1079,9
1080,item #1080,description of item 1080,6
1081,item #1081,description of item 1081,3
1082,item #1082,description of item 1082,7
1083,item #1083,description of item 1083,5
1084,item #1084,description of item 1084,10
1085,item #1085,description of item 1085,8
1086,item #1086,description of item 1086,13
1087,item #1087,description of item 1087,2
1088,item #1088,description of item 1088,12
1089,item #1089,description of item 1089,9
1090,item #1090,description of item 1090,11
1091,item #1091,description of item 1091,6
1092,item #1092,description of item 1092,10
1093,item #1093,description of item 1093,6
1094,item #1094,description of item 1094,13
1095,item #1095,description of item 1095,6
1096,item #1096,description of item 1096,7
1097,item #1097,description of item 1097,5
1098,item #1098,description of item 1098,13
1099,item #1099,description of item 1099,5